"title","number","reply_num","address","author","create_time","last_replyer","last_reply_time","good","span","exist_time"
"叶老",0,0,"http://tieba.baidu.com/p/4241022721","平流居士吧","2015-12","平流居士吧","2015-12-30",0,29,31
"屠呦呦获诺贝尔奖，叶企孙何时才能为人们所知！",1,1,"http://tieba.baidu.com/p/4083914982","混世小子_","2015-10","leledilake","2015-12-26",0,86,92
"找找叶老的位置！真是无语了",2,5,"http://tieba.baidu.com/p/1061093306","WXQforever","2012-06","leledilake","2015-9-8",0,1194,1309
"为何叶公不为人所知？",3,3,"http://tieba.baidu.com/p/1618649325","凌乱着的风","2012-06","leledilake","2015-9-7",0,1193,1309
"超越天地之外，不入名利之中！",4,1,"http://tieba.baidu.com/p/754964297","125.83.161.*","2010-04","leledilake","2015-9-7",0,1985,2101
"第一次知道叶企孙先生是四年前柴静的文章",5,1,"http://tieba.baidu.com/p/3473891737","不知梦在何方","2014-12","leledilake","2015-9-7",0,280,396
"叶先生让许许多多的高喊爱国的人羞愧。",6,6,"http://tieba.baidu.com/p/2826749374","黑色深渊骑士","2014-01","leledilake","2015-9-7",0,614,730
"额 ！我今天才知道这个人  D的保密工作做得好噢",7,5,"http://tieba.baidu.com/p/738285899","拉姆塞的小妹","2012-12","子木秋风shine","2015-7-14",0,955,1126
"重审历史",8,5,"http://tieba.baidu.com/p/3545486890","马踏飞燕728","2015-01","leledilake","2015-7-4",0,184,365
"昨天是他逝世35周年忌日，向先生致敬",9,9,"http://tieba.baidu.com/p/1366183606","_aesthetics","2014-01","leledilake","2015-7-4",0,549,730
"把心交给你",10,0,"http://tieba.baidu.com/p/3596490362","xlhutu163","2015-02","xlhutu163","2015-2-21",0,20,334
"拜年了 向全国人民百年",11,0,"http://tieba.baidu.com/p/3596480684","xlhutu163","2015-02","xlhutu163","2015-2-21",0,20,334
"头脑风暴 秦朔 相信与包容期待美好",12,0,"http://tieba.baidu.com/p/3592734233","xlhutu163","2015-02","xlhutu163","2015-2-18",0,17,334
"大师 吴健雄",13,0,"http://tieba.baidu.com/p/3591015165","xlhutu163","2015-02","xlhutu163","2015-2-17",0,16,334
"大师 梁从诫",14,0,"http://tieba.baidu.com/p/3591006206","xlhutu163","2015-02","xlhutu163","2015-2-17",0,16,334
"大师 谢希德",15,0,"http://tieba.baidu.com/p/3590997593","xlhutu163","2015-02","xlhutu163","2015-2-17",0,16,334
"纪实 向大师致敬 叶企孙 下",16,0,"http://tieba.baidu.com/p/3589339651","xlhutu163","2015-02","xlhutu163","2015-2-16",0,15,334
"纪实 向大师致敬 叶企孙 上",17,0,"http://tieba.baidu.com/p/3589332185","xlhutu163","2015-02","xlhutu163","2015-2-16",0,15,334
"《三体》中叶文洁之父叶哲泰的原型？为烈焰中焚毁的文明来拜一下",18,3,"http://tieba.baidu.com/p/3287326652","heartofstars","2014-09","不知梦在何方","2014-12-18",0,108,487
"***算个鸟，没有叶先生搞个鬼的俩弹一星。",19,3,"http://tieba.baidu.com/p/2237853586","那堪大梦","2014-03","oceanl12","2014-5-17",0,77,671
"叶企孙  二书",20,0,"http://tieba.baidu.com/p/3045738122","LITIANLAIZHAN","2014-05","LITIANLAIZHAN","2014-5-16",0,15,610
"那些为中国无数人而感动的人，能否聚在一起弘扬华夏精神",21,0,"http://tieba.baidu.com/p/2858282750","呆邪瘋","2014-02","呆邪瘋","2014-2-9",0,8,699
"看了真的不知道该怎么说了",22,0,"http://tieba.baidu.com/p/2858084374","宇9516","2014-02","宇9516","2014-2-9",0,8,699
"中国科学家",23,1,"http://tieba.baidu.com/p/2276814338","jxjiqi123","2014-01","黑色深渊骑士","2014-1-20",0,19,730
"新人报道。",24,0,"http://tieba.baidu.com/p/2824421914","黑色深渊骑士","2014-01","黑色深渊骑士","2014-1-20",0,19,730
"纪念叶企孙老师 李政道",25,16,"http://tieba.baidu.com/p/143921242","218.92.148.*","2013-12","zjmud","2013-12-16",0,15,761
"叶先生是我心中永远的大师！",26,1,"http://tieba.baidu.com/p/1873940287","ruyucong","2013-11","让我看看你是啥","2013-11-3",0,2,791
"中国物理学之父",27,1,"http://tieba.baidu.com/p/1164906561","luqinbo","2013-09","a79883014304","2013-9-25",0,24,852
"两弹一星元勋23位科学家中有19人是他的学生，有2人是他的学生···",28,1,"http://tieba.baidu.com/p/1673800756","272与374","2013-09","a79883014304","2013-9-25",0,24,852
"追忆",29,14,"http://tieba.baidu.com/p/143922050","218.92.148.*","2013-08","叶未盈","2013-8-23",0,22,883
"永远怀念叶企孙、熊大缜",30,1,"http://tieba.baidu.com/p/1389691407","182.35.95.*","2013-04","如风般自在","2013-4-10",0,9,1005
"为叶师联名的127位科学家是谁",31,2,"http://tieba.baidu.com/p/1345808793","LiebeSchnee","2013-03","LiebeSchnee","2013-3-19",0,18,1036
"感谢大师对中国做出的贡献,为大师被世人忘记抱不平",32,5,"http://tieba.baidu.com/p/541631840","219.132.38.*","2013-01","安诺塔卡","2013-1-8",0,7,1095
" 中国科技的基石：叶企孙和科学大师们",33,2,"http://tieba.baidu.com/p/1578629860","川滇藏","2012-12","叶未盈","2012-12-27",0,26,1126
"感慨啊",34,1,"http://tieba.baidu.com/p/619927746","晓倾锋","2012-09","dll1991_2_6","2012-9-21",0,20,1217
"我来水一贴",35,0,"http://tieba.baidu.com/p/1797674896","大鱼在北边","2012-08","大鱼在北边","2012-8-17",0,16,1248
"一代大师 叶企孙 （上）",36,1,"http://tieba.baidu.com/p/1249171977","灵仙雪玲","2012-06","凌乱着的风","2012-6-16",0,15,1309
"《大师》",37,1,"http://tieba.baidu.com/p/1655204854","dzyseu2010","2012-06","dzyseu2010","2012-6-12",0,11,1309
"大师？大师！",38,0,"http://tieba.baidu.com/p/1569051534","话锋毅转","2012-05","话锋毅转","2012-5-3",0,2,1340
"今天收到《最后的大师》一书，拜读下",39,1,"http://tieba.baidu.com/p/1058065857","ber_zjw","2012-01","_aesthetics","2012-1-14",0,13,1461
"我们的英雄，我们永远怀念！",40,28,"http://tieba.baidu.com/p/70346937","58.19.126.*","2011-10","登Durant","2011-10-26",0,25,1553
"一代大师 叶企孙（下）",41,0,"http://tieba.baidu.com/p/1249173490","灵仙雪玲","2011-10","灵仙雪玲","2011-10-17",0,16,1553
"我也是上星期才知道他的存在= =【我去切腹……",42,5,"http://tieba.baidu.com/p/811106584","summer·柚子","2011-05","奥冰寒","2011-5-19",0,18,1706
"我党对知识分子的关怀，真是罄竹难书啊",43,3,"http://tieba.baidu.com/p/646795673","221.221.8.*","2011-05","一名国脚","2011-5-13",0,12,1706
"一代伟人，中国的脊梁！",44,8,"http://tieba.baidu.com/p/175405532","58.19.131.*","2011-04","骑云过客","2011-4-21",0,20,1736
"伟大的先师 给您鞠躬了",45,0,"http://tieba.baidu.com/p/879092236","","2010-09","117.136.22.*","2010-9-3",0,2,1948
"永远的怀念",46,0,"http://tieba.baidu.com/p/754941435","","2010-04","125.83.161.*","2010-4-23",0,22,2101
"永远怀念！",47,0,"http://tieba.baidu.com/p/754585408","","2010-04","125.83.161.*","2010-4-22",0,21,2101
"先生，给宁鞠躬了！",48,0,"http://tieba.baidu.com/p/740462763","JanK_那","2010-04","JanK_那","2010-4-2",0,1,2101
"永垂不朽",50,0,"http://tieba.baidu.com/p/739039510","","2010-03","123.134.64.*","2010-3-31",0,30,2132
"书到了",51,0,"http://tieba.baidu.com/p/678904903","","2009-12","211.137.199.*","2009-12-8",0,7,2222
